model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso
Elastic Net +NLP,5,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007596015930175781,9.72747802734375e-05,622,2026-05-07T22:54:10.092132+00:00,2026-05-07T22:54:10.092899+00:00,2026-05-07T22:54:10.092906+00:00,2026-05-07T22:54:10.093007+00:00
Elastic Net,6,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007174015045166016,9.417533874511719e-05,622,2026-05-07T22:54:10.093845+00:00,2026-05-07T22:54:10.094569+00:00,2026-05-07T22:54:10.094576+00:00,2026-05-07T22:54:10.094674+00:00
Elastic Net +NLP,6,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007746219635009766,0.00010037422180175781,622,2026-05-07T22:54:10.095524+00:00,2026-05-07T22:54:10.096307+00:00,2026-05-07T22:54:10.096314+00:00,2026-05-07T22:54:10.096418+00:00
Elastic Net,7,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007545948028564453,0.0001010894775390625,622,2026-05-07T22:54:10.097254+00:00,2026-05-07T22:54:10.098016+00:00,2026-05-07T22:54:10.098023+00:00,2026-05-07T22:54:10.098129+00:00
Elastic Net +NLP,7,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007596015930175781,0.00010013580322265625,622,2026-05-07T22:54:10.098982+00:00,2026-05-07T22:54:10.099749+00:00,2026-05-07T22:54:10.099757+00:00,2026-05-07T22:54:10.099861+00:00
Elastic Net,8,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007555484771728516,0.00010085105895996094,622,2026-05-07T22:54:10.100706+00:00,2026-05-07T22:54:10.101469+00:00,2026-05-07T22:54:10.101476+00:00,2026-05-07T22:54:10.101581+00:00
Elastic Net +NLP,8,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007491111755371094,0.00010633468627929688,622,2026-05-07T22:54:10.102434+00:00,2026-05-07T22:54:10.103190+00:00,2026-05-07T22:54:10.103197+00:00,2026-05-07T22:54:10.103307+00:00
Elastic Net,9,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007359981536865234,9.679794311523438e-05,622,2026-05-07T22:54:10.104199+00:00,2026-05-07T22:54:10.104942+00:00,2026-05-07T22:54:10.104949+00:00,2026-05-07T22:54:10.105050+00:00
Elastic Net +NLP,9,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0011646747589111328,0.00010609626770019531,622,2026-05-07T22:54:10.105894+00:00,2026-05-07T22:54:10.107066+00:00,2026-05-07T22:54:10.107074+00:00,2026-05-07T22:54:10.107184+00:00
XGBoost,0,0.006315810884597497,0.0794720761311638,0.05760906697555807,-0.1330710392596195,0.182265043258667,0.0014646053314208984,622,2026-05-07T22:54:10.108120+00:00,2026-05-07T22:54:10.290394+00:00,2026-05-07T22:54:10.290402+00:00,2026-05-07T22:54:10.291870+00:00
XGBoost +NLP,0,0.007717196629927597,0.08784757611868182,0.0636265287804539,-0.38448287407835435,0.12469673156738281,0.0012402534484863281,622,2026-05-07T22:54:10.292714+00:00,2026-05-07T22:54:10.417419+00:00,2026-05-07T22:54:10.417428+00:00,2026-05-07T22:54:10.418671+00:00
XGBoost,1,0.006315810884597497,0.0794720761311638,0.05760906697555807,-0.1330710392596195,0.07528114318847656,0.000885009765625,622,2026-05-07T22:54:10.419525+00:00,2026-05-07T22:54:10.494815+00:00,2026-05-07T22:54:10.494824+00:00,2026-05-07T22:54:10.495712+00:00
XGBoost +NLP,1,0.007717196629927597,0.08784757611868182,0.0636265287804539,-0.38448287407835435,0.05382966995239258,0.0006835460662841797,622,2026-05-07T22:54:10.496503+00:00,2026-05-07T22:54:10.550341+00:00,2026-05-07T22:54:10.550349+00:00,2026-05-07T22:54:10.551035+00:00
XGBoost,2,0.006315810884597497,0.0794720761311638,0.05760906697555807,-0.1330710392596195,0.03712725639343262,0.0006053447723388672,622,2026-05-07T22:54:10.551678+00:00,2026-05-07T22:54:10.588812+00:00,2026-05-07T22:54:10.588819+00:00,2026-05-07T22:54:10.589426+00:00
XGBoost +NLP,2,0.007717196629927597,0.08784757611868182,0.0636265287804539,-0.38448287407835435,0.041176557540893555,0.0006108283996582031,622,2026-05-07T22:54:10.589992+00:00,2026-05-07T22:54:10.631174+00:00,2026-05-07T22:54:10.631181+00:00,2026-05-07T22:54:10.631794+00:00
XGBoost,3,0.006315810884597497,0.0794720761311638,0.05760906697555807,-0.1330710392596195,0.034001827239990234,0.0006189346313476562,622,2026-05-07T22:54:10.632387+00:00,2026-05-07T22:54:10.666395+00:00,2026-05-07T22:54:10.666402+00:00,2026-05-07T22:54:10.667023+00:00
XGBoost +NLP,3,0.007717196629927597,0.08784757611868182,0.0636265287804539,-0.38448287407835435,0.03927278518676758,0.0005981922149658203,622,2026-05-07T22:54:10.667638+00:00,2026-05-07T22:54:10.706917+00:00,2026-05-07T22:54:10.706925+00:00,2026-05-07T22:54:10.707526+00:00
XGBoost,4,0.006315810884597497,0.0794720761311638,0.05760906697555807,-0.1330710392596195,0.03368806838989258,0.0005745887756347656,622,2026-05-07T22:54:10.708105+00:00,2026-05-07T22:54:10.741799+00:00,2026-05-07T22:54:10.741806+00:00,2026-05-07T22:54:10.742383+00:00
XGBoost +NLP,4,0.007717196629927597,0.08784757611868182,0.0636265287804539,-0.38448287407835435,0.03927731513977051,0.0005807876586914062,622,2026-05-07T22:54:10.742927+00:00,2026-05-07T22:54:10.782210+00:00,2026-05-07T22:54:10.782217+00:00,2026-05-07T22:54:10.782800+00:00
