model,seed,accuracy,f1,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
FinBERT,0,0.3880597014925373,0.3337257701487942,46.62071824073792,0.9467761516571044,2546,2026-05-07T22:45:03.208987+00:00,2026-05-07T22:45:49.829724+00:00,2026-05-07T22:45:50.749793+00:00,2026-05-07T22:45:51.696577+00:00,0.0005937477591135206,0.0038577352051987505,0.004451482964312271,46.620737,47,1.1918830030292877e-05,7.04246868711111e-05,8.234351690140397e-05,0.946784,5
FinBERT,1,0.3845247446975648,0.3254800146437046,46.71913647651672,0.9934756755828856,2546,2026-05-07T22:45:52.570375+00:00,2026-05-07T22:46:39.289535+00:00,2026-05-07T22:46:40.268457+00:00,2026-05-07T22:46:41.261939+00:00,0.0005707461957848766,0.0038012382913531952,0.004371984487138072,46.71916,46,1.2389979980094677e-05,7.82137470271111e-05,9.060372700720578e-05,0.993482,5
FinBERT,2,0.4253731343283582,0.2821776646973789,46.754576683044434,0.9948327541351318,2546,2026-05-07T22:46:42.126786+00:00,2026-05-07T22:47:28.881383+00:00,2026-05-07T22:47:29.836928+00:00,2026-05-07T22:47:30.831767+00:00,0.000586376905876123,0.0038455985694552776,0.0044319754753314,46.754597,47,1.3267695841142492e-05,7.328685988183334e-05,8.655455572297583e-05,0.994839,5
FinBERT,3,0.3970934799685782,0.3335925315216778,46.658469438552856,0.9925427436828612,2546,2026-05-07T22:47:31.730452+00:00,2026-05-07T22:48:18.388936+00:00,2026-05-07T22:48:19.352730+00:00,2026-05-07T22:48:20.345279+00:00,0.0005703598425979599,0.0037913453029138895,0.0043617051455118495,46.658484,46,1.216625548844327e-05,7.861175561477778e-05,9.077801110322105e-05,0.992549,5
FinBERT,4,0.4112333071484682,0.3224402752862552,46.72203421592712,0.9738492965698242,2546,2026-05-07T22:48:21.223164+00:00,2026-05-07T22:49:07.945212+00:00,2026-05-07T22:49:08.886083+00:00,2026-05-07T22:49:09.859940+00:00,0.0005738338791445004,0.003859075599925694,0.004432909479070195,46.722048,47,1.274558625206003e-05,7.171785925733333e-05,8.446344550939335e-05,0.973857,5
FinBERT,5,0.3680282796543598,0.3365864700751357,46.5610134601593,0.9995527267456056,2546,2026-05-07T22:49:10.754175+00:00,2026-05-07T22:49:57.315202+00:00,2026-05-07T22:49:58.268057+00:00,2026-05-07T22:49:59.267615+00:00,0.0005773797441823358,0.0037957188608419446,0.00437309860502428,46.561027,46,1.360537388590122e-05,7.4058696026e-05,8.766406991190121e-05,0.999558,5
FinBERT,6,0.384917517674784,0.3343065777732363,46.61832332611084,1.0339813232421875,2546,2026-05-07T22:50:00.139222+00:00,2026-05-07T22:50:46.757566+00:00,2026-05-07T22:50:47.716868+00:00,2026-05-07T22:50:48.750856+00:00,0.0005724634384173383,0.003794783822515278,0.004367247260932616,46.618344,46,1.5693534284232667e-05,7.971524741622221e-05,9.540878170045489e-05,1.033988,5
FinBERT,7,0.3794186959937156,0.3391336870958483,46.70429587364197,1.0015418529510498,2546,2026-05-07T22:50:49.697075+00:00,2026-05-07T22:51:36.401386+00:00,2026-05-07T22:51:37.390722+00:00,2026-05-07T22:51:38.392269+00:00,0.0005864791508314373,0.003839910525194445,0.004426389676025882,46.704311,47,1.2573298132557663e-05,7.070293071049999e-05,8.327622884305766e-05,1.001547,5
FinBERT,8,0.4029850746268656,0.3401054581200998,46.91454315185547,1.015841722488403,2546,2026-05-07T22:51:39.303147+00:00,2026-05-07T22:52:26.217709+00:00,2026-05-07T22:52:27.203873+00:00,2026-05-07T22:52:28.219721+00:00,0.0005648939701479007,0.0038467966398218053,0.004411690609969706,46.914562,47,1.2280213787114364e-05,7.2156078492e-05,8.443629227911437e-05,1.015848,5
FinBERT,9,0.3747054202670856,0.3437319496633207,47.0289888381958,1.0205645561218262,2546,2026-05-07T22:52:29.123733+00:00,2026-05-07T22:53:16.152738+00:00,2026-05-07T22:53:17.140081+00:00,2026-05-07T22:53:18.160652+00:00,0.0005726967298379813,0.0038506148600229175,0.004423311589860899,47.029005,47,1.418259021680653e-05,7.504621432688888e-05,8.922880454369541e-05,1.020571,5
