timestamp_iso,cpu_energy_j,gpu_power_w,gpu_util_pct
2026-05-07T23:47:38.567398Z,103486.754909,25.303,0
2026-05-07T23:47:39.568702Z,103489.372151,25.189,0
2026-05-07T23:47:40.569315Z,103491.98921,25.153,0
2026-05-07T23:47:41.570848Z,103494.621954,25.204,0
2026-05-07T23:47:42.572387Z,103497.087402,24.713,0
2026-05-07T23:47:43.573902Z,103499.75628,24.932,0
2026-05-07T23:47:44.575373Z,103502.234484,25.043,0
2026-05-07T23:47:45.576873Z,103504.9127,25.0,0
2026-05-07T23:47:46.578390Z,103507.36472,24.591,0
2026-05-07T23:47:47.579472Z,103509.991483,24.631,0
2026-05-07T23:47:48.581000Z,103512.465598,24.343,0
2026-05-07T23:47:49.582528Z,103515.129653,25.225,0
2026-05-07T23:47:50.584059Z,103520.227846,24.677,0
2026-05-07T23:47:51.585592Z,103522.912226,24.595,0
2026-05-07T23:47:52.587145Z,103525.387134,24.402,0
2026-05-07T23:47:53.588661Z,103528.004865,24.475,0
2026-05-07T23:47:54.590164Z,103530.466406,24.527,0
2026-05-07T23:47:55.591398Z,103533.072723,24.209,0
2026-05-07T23:47:56.592647Z,103535.54287,24.679,0
2026-05-07T23:47:57.593175Z,103538.067339,25.038,0
2026-05-07T23:47:58.594355Z,103540.631053,24.764,0
2026-05-07T23:47:59.595460Z,103543.211979,24.835,0
2026-05-07T23:48:00.596979Z,103546.021542,24.992,0
2026-05-07T23:48:01.598500Z,103548.477713,24.816,0
2026-05-07T23:48:02.600015Z,103551.050948,25.038,0
2026-05-07T23:48:03.601547Z,103555.667208,24.499,0
2026-05-07T23:48:04.603164Z,103558.220791,24.601,0
2026-05-07T23:48:05.604700Z,103560.703145,25.216,0
2026-05-07T23:48:06.606227Z,103563.216322,24.891,0
2026-05-07T23:48:07.607694Z,103565.671943,25.122,0
2026-05-07T23:48:08.609195Z,103568.33368,25.231,0
2026-05-07T23:48:09.610740Z,103570.934198,25.544,0
2026-05-07T23:48:10.611490Z,103573.786058,25.318,0
2026-05-07T23:48:11.613012Z,103576.254558,25.714,0
2026-05-07T23:48:12.614531Z,103578.899693,25.37,0
2026-05-07T23:48:13.615466Z,103581.332121,25.228,0
